<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
ГАЗПРОМ ао	W	15.02.2016	0	136,59	168679130		Распадская	W	15.02.2016	0	25,5	9071480		НЛМК ао	W	15.02.2016	0	72,68	31726110
ГАЗПРОМ ао	W	22.02.2016	0	138,67	115206210		Распадская	W	22.02.2016	0	25	6528220		НЛМК ао	W	22.02.2016	0	73	14652610
ГАЗПРОМ ао	W	29.02.2016	0	146,16	177870020		Распадская	W	29.02.2016	0	25,29	12998680		НЛМК ао	W	29.02.2016	0	75,58	13925640
ГАЗПРОМ ао	W	07.03.2016	0	144,3	142633100		Распадская	W	07.03.2016	0	25,47	9365690		НЛМК ао	W	07.03.2016	0	78,11	12491290
ГАЗПРОМ ао	W	14.03.2016	0	150,65	198732610		Распадская	W	14.03.2016	0	25,16	13191150		НЛМК ао	W	14.03.2016	0	80,73	23249500
ГАЗПРОМ ао	W	21.03.2016	0	146,04	143008980		Распадская	W	21.03.2016	0	25,2	8533930		НЛМК ао	W	21.03.2016	0	82,09	19688020
ГАЗПРОМ ао	W	28.03.2016	0	147,2	143768700		Распадская	W	28.03.2016	0	23,6	12034170		НЛМК ао	W	28.03.2016	0	86,28	18515020
ГАЗПРОМ ао	W	04.04.2016	0	145,7	121733760		Распадская	W	04.04.2016	0	24,01	7452670		НЛМК ао	W	04.04.2016	0	90,09	16470020
ГАЗПРОМ ао	W	11.04.2016	0	147,99	208454430		Распадская	W	11.04.2016	0	27,97	35970670		НЛМК ао	W	11.04.2016	0	88,22	18272670
ГАЗПРОМ ао	W	18.04.2016	0	161,2	345739100		Распадская	W	18.04.2016	0	28,12	23124320		НЛМК ао	W	18.04.2016	0	92,01	21588350
ГАЗПРОМ ао	W	25.04.2016	0	168,47	229162090		Распадская	W	25.04.2016	0	29,93	18164890		НЛМК ао	W	25.04.2016	0	89,25	17391610
ГАЗПРОМ ао	W	02.05.2016	0	159,27	125034600		Распадская	W	02.05.2016	0	28,8	4192180		НЛМК ао	W	02.05.2016	0	87,1	16235750
ГАЗПРОМ ао	W	09.05.2016	0	159,85	105104130		Распадская	W	09.05.2016	0	26,33	9772520		НЛМК ао	W	09.05.2016	0	83,65	12592440
ГАЗПРОМ ао	W	16.05.2016	0	146,7	229196520		Распадская	W	16.05.2016	0	27,39	7229740		НЛМК ао	W	16.05.2016	0	84,98	9254440
ГАЗПРОМ ао	W	23.05.2016	0	149,88	146918140		Распадская	W	23.05.2016	0	27,32	8671550		НЛМК ао	W	23.05.2016	0	85,4	9790280
ГАЗПРОМ ао	W	30.05.2016	0	143,41	142719000		Распадская	W	30.05.2016	0	26,24	4755050		НЛМК ао	W	30.05.2016	0	80,45	12207760
ГАЗПРОМ ао	W	06.06.2016	0	142,44	116821370		Распадская	W	06.06.2016	0	25,16	4255880		НЛМК ао	W	06.06.2016	0	77,7	20557080
ГАЗПРОМ ао	W	13.06.2016	0	139,32	118382680		Распадская	W	13.06.2016	0	24,82	2906320		НЛМК ао	W	13.06.2016	0	79,9	9595640
ГАЗПРОМ ао	W	20.06.2016	0	141,25	128656490		Распадская	W	20.06.2016	0	27,35	13374120		НЛМК ао	W	20.06.2016	0	81,06	13160060
ГАЗПРОМ ао	W	27.06.2016	0	140,05	103987350		Распадская	W	27.06.2016	0	29,4	9621910		НЛМК ао	W	27.06.2016	0	83,7	10590140
ГАЗПРОМ ао	W	04.07.2016	0	140,27	100507750		Распадская	W	04.07.2016	0	27,33	8183850		НЛМК ао	W	04.07.2016	0	84,52	12932980
